0	"american"
1	"american scientist"
2	"april 25  1971"
3	"biochemist"
4	"bioengineering"
5	"braincheck"
6	"center for science and law"
7	"creating and developing hydrogel tissue chemistry"
8	"creating and developing optogenetics"
9	"d h  chen foundation professor"
10	"david eagleman"
11	"december 22  1955"
12	"department of molecular and cellular physiology"
13	"devices"
14	"digital cognitive health platform"
15	"dysfunction in neurological and psychiatric disease"
16	"formemrs"
17	"german american"
18	"health systems"
19	"integrated optical and genetic strategies"
20	"karl alexander deisseroth"
21	"legal system"
22	"medical practices"
23	"modern neuroscience"
24	"neosensory"
25	"neurology"
26	"neuroscience"
27	"normal neural circuit function"
28	"professor"
29	"psychiatry and behavioral sciences"
30	"school of medicine"
31	"sensory substitution"
32	"stanford university"
33	"synaptic transmission"
34	"thomas c  sudhof"
