	strings	type
0	american	kb
1	american scientist	kb
2	april 25  1971	kb
3	biochemist	kb
4	bioengineering	kb
5	braincheck	kb
6	center for science and law	kb
7	creating and developing hydrogel tissue chemistry	kb
8	creating and developing optogenetics	kb
9	d h  chen foundation professor	kb
10	david eagleman	kb
11	december 22  1955	kb
12	department of molecular and cellular physiology	kb
13	devices	kb
14	digital cognitive health platform	kb
15	dysfunction in neurological and psychiatric disease	kb
16	formemrs	kb
17	german american	kb
18	health systems	kb
19	integrated optical and genetic strategies	kb
20	karl alexander deisseroth	kb
21	legal system	kb
22	medical practices	kb
23	modern neuroscience	kb
24	neosensory	kb
25	neurology	kb
26	neuroscience	kb
27	normal neural circuit function	kb
28	professor	kb
29	psychiatry and behavioral sciences	kb
30	school of medicine	kb
31	sensory substitution	kb
32	stanford university	kb
33	synaptic transmission	kb
34	thomas c  sudhof	kb
0	alz	query
1	stanford university	query
